Destination,Budget_Min,Budget_Max,Start_Date,End_Date,Travel_Type,Activities,Accommodation_Type,Cuisine,Past_Travel_History,Language,Geographical_Features,Cost,Weather_Conditions,Accessibility,Accommodation_Options,Cultural_Highlights,Local_Cuisine,User_Reviews,Special_Features,Tourist_Spots
Mumbai,180790,190064,2024-11-05,2024-12-07,Group,Food-related,Resort,North Indian,"Manali, Mumbai, Jaipur",English,Jaipur,60000-70000,Tropical,Low,Hostel,Attention network raise single.,Seafood,1,Offer knowledge miss.,"Solang Valley, Rohtang Pass"
Kerala,20675,70773,2024-07-22,2024-09-09,Couple,"Cultural, Adventure",Resort,Vegetarian,"Goa, Leh, Andaman",English,Goa,170000-180000,Tropical,High,Hostel,Focus lay gas choose wish manager.,Street Food,4,Adult go until understand task.,"Munnar, Alleppey, Varkala"
Jaipur,152521,153864,2024-07-11,2024-08-15,Solo,"Adventure, Relaxation, Food-related",Resort,Vegetarian,Goa,English,Leh,140000-150000,Snowy,High,Villa,Company how beat beyond.,Street Food,2,Debate company do.,"Fort Kochi, Thekkady"
Jaipur,79904,148338,2024-07-16,2024-08-28,Solo,"Food-related, Adventure",Homestay,North Indian,"Goa, Varanasi, Kerala",English,Leh,80000-90000,Snowy,High,Hostel,Onto someone author ask company quality.,North Indian,2,Learn decide single stage training.,Kashi Vishwanath Temple
Leh,47144,57696,2024-06-17,2024-10-09,Family,Food-related,Hotel,Vegetarian,"Goa, Kerala, Varanasi",English,Rishikesh,70000-80000,Snowy,Low,Villa,Player scientist really necessary across.,Seafood,2,Base design might special then.,Periyar Wildlife Sanctuary
Rishikesh,134086,154663,2024-12-10,2024-12-11,Solo,"Cultural, Food-related",Homestay,North Indian,Kerala,English,Mumbai,150000-160000,Moderate,Medium,Resort,Despite item none become security among.,North Indian,2,Statement maintain red interest possible blood.,"Solang Valley, Rohtang Pass"
Varanasi,10518,25155,2024-10-29,2024-12-15,Solo,"Food-related, Adventure",Homestay,Seafood,"Kerala, Mumbai",English,Andaman,100000-110000,Moderate,Low,Hostel,Like be worker world.,South Indian,3,Official coach guess Mrs knowledge by.,"Munnar, Alleppey, Varkala"
Andaman,98911,6972,2024-09-29,2024-10-21,Family,"Nature, Adventure, Relaxation",Hotel,Vegetarian,"Mumbai, Delhi, Varanasi",English,Varanasi,110000-120000,Tropical,Medium,Resort,Become treat challenge human if.,South Indian,4,Firm check table assume send.,"Fort Kochi, Thekkady"
Rishikesh,60790,196520,2024-01-28,2024-02-26,Family,"Food-related, Nature, Relaxation",Villa,Vegetarian,Goa,English,Andaman,180000-190000,Snowy,Medium,Villa,Sort hour high information alone so.,South Indian,4,Society nor trip daughter work direction.,Kashi Vishwanath Temple
Varanasi,38157,8714,2024-11-04,2025-01-04,Solo,"Relaxation, Food-related, Nature",Homestay,Seafood,Varanasi,English,Delhi,100000-110000,Moderate,Medium,Resort,Several nature difficult direction indeed.,Street Food,5,Ground people lot.,Periyar Wildlife Sanctuary
Leh,153894,163938,2024-09-08,2024-09-12,Family,"Adventure, Cultural",Homestay,North Indian,Leh,English,Delhi,80000-90000,Moderate,Medium,Resort,Population society anyone take everyone garden.,North Indian,5,Ever structure land effect.,"Solang Valley, Rohtang Pass"
Goa,127815,194450,2024-01-23,2024-09-16,Family,Food-related,Hotel,Seafood,"Jaipur, Delhi, Andaman",English,Leh,100000-110000,Snowy,Medium,Villa,Six themselves democratic according professional project.,South Indian,5,Great effort almost fund need.,"Munnar, Alleppey, Varkala"
Andaman,103290,17639,2024-03-19,2024-12-09,Group,Relaxation,Hotel,Seafood,Rishikesh,English,Leh,0-10000,Tropical,Medium,Hotel,Worker later it economy husband order.,Street Food,4,Piece church meeting.,"Fort Kochi, Thekkady"
Manali,193933,199137,2024-03-05,2024-09-04,Solo,Food-related,Homestay,North Indian,"Mumbai, Manali, Rishikesh",English,Delhi,80000-90000,Snowy,High,Hostel,Data Democrat maybe capital type.,Street Food,5,Particularly church poor.,Kashi Vishwanath Temple
Manali,185993,166582,2024-04-23,2024-12-27,Family,"Food-related, Cultural, Adventure",Villa,Street Food,Kerala,English,Rishikesh,130000-140000,Snowy,High,Resort,Run act require score black.,Street Food,3,Left store mission recent grow.,Periyar Wildlife Sanctuary
Rishikesh,59024,89715,2024-10-17,2024-12-26,Couple,Nature,Hostel,South Indian,Goa,English,Kerala,160000-170000,Snowy,Low,Hotel,Goal avoid air I reality full.,North Indian,1,Stage write claim.,"Solang Valley, Rohtang Pass"
Manali,86277,148970,2024-01-07,2024-12-09,Family,"Relaxation, Nature, Cultural",Hotel,North Indian,Kerala,English,Manali,180000-190000,Tropical,Low,Hostel,Congress window experience huge.,South Indian,3,Most ahead arrive tree or.,"Munnar, Alleppey, Varkala"
Kerala,158912,74576,2024-04-22,2024-12-04,Solo,"Cultural, Relaxation, Nature",Resort,South Indian,Delhi,English,Varanasi,180000-190000,Snowy,Low,Homestay,Forward nice safe eat.,South Indian,4,Available another fast different total.,"Fort Kochi, Thekkady"
Goa,105516,80016,2024-08-29,2024-12-05,Family,"Food-related, Adventure, Cultural",Resort,Seafood,"Mumbai, Delhi, Manali",English,Goa,140000-150000,Snowy,Medium,Homestay,Pay light miss various drop.,South Indian,4,Adult cover east.,Kashi Vishwanath Temple
Jaipur,52025,184829,2024-01-24,2024-11-23,Group,"Nature, Relaxation, Adventure",Homestay,Seafood,"Delhi, Andaman",English,Mumbai,130000-140000,Snowy,Low,Homestay,Attorney same industry wear.,Vegetarian,4,Very television religious tell position.,Periyar Wildlife Sanctuary
Andaman,160349,82036,2024-11-11,2024-11-22,Group,"Food-related, Relaxation",Hostel,North Indian,Goa,English,Leh,60000-70000,Tropical,Medium,Hotel,Song create significant yes.,Street Food,1,Stop describe western.,"Solang Valley, Rohtang Pass"
Manali,115189,124280,2024-09-10,2024-09-12,Solo,Nature,Villa,South Indian,Rishikesh,English,Rishikesh,190000-200000,Snowy,Low,Resort,Have second civil finally fight cut.,Vegetarian,5,Protect miss expert picture.,"Munnar, Alleppey, Varkala"
Leh,80540,57436,2024-03-04,2024-11-16,Solo,"Adventure, Food-related",Resort,Seafood,"Mumbai, Rishikesh, Jaipur",English,Jaipur,80000-90000,Moderate,Medium,Hostel,Onto road character after offer brother.,Seafood,1,When coach mean animal.,"Fort Kochi, Thekkady"
Mumbai,23346,101514,2024-08-24,2024-09-28,Couple,Relaxation,Resort,North Indian,"Manali, Kerala",English,Jaipur,130000-140000,Moderate,High,Homestay,Someone and film.,Vegetarian,4,Clearly very exist and charge until.,Kashi Vishwanath Temple
Jaipur,15382,118164,2024-04-01,2024-07-08,Couple,Relaxation,Homestay,Street Food,"Manali, Andaman",English,Goa,190000-200000,Snowy,High,Resort,Natural return personal fast painting.,North Indian,2,Draw ago hit turn pressure.,Periyar Wildlife Sanctuary
Delhi,128237,30296,2024-11-27,2024-12-10,Couple,Adventure,Resort,North Indian,"Manali, Leh, Mumbai",English,Varanasi,160000-170000,Tropical,Low,Villa,Clear fast political theory majority method.,Street Food,3,Case camera choose simply the bag.,"Solang Valley, Rohtang Pass"
Manali,120666,188093,2024-02-26,2024-03-29,Family,"Adventure, Nature, Cultural",Homestay,Vegetarian,Manali,English,Mumbai,90000-100000,Snowy,Low,Resort,Operation teacher actually director position.,South Indian,2,Party director prove court long remember.,"Munnar, Alleppey, Varkala"
Kerala,160752,44341,2024-06-26,2024-08-05,Solo,"Nature, Cultural",Villa,Vegetarian,"Goa, Andaman",English,Leh,180000-190000,Tropical,Low,Homestay,Edge Mrs concern.,North Indian,3,Bed official blue school out.,"Fort Kochi, Thekkady"
Goa,194698,66979,2024-03-10,2024-08-19,Couple,"Relaxation, Nature",Villa,South Indian,"Manali, Kerala",English,Manali,100000-110000,Snowy,Medium,Hostel,Film option try boy.,Street Food,5,Already word today course subject attention.,Kashi Vishwanath Temple
Mumbai,74423,99039,2024-01-06,2024-12-27,Solo,"Adventure, Relaxation",Villa,Seafood,"Mumbai, Rishikesh",English,Varanasi,130000-140000,Moderate,High,Resort,Own of girl.,Seafood,3,Blood face end.,Periyar Wildlife Sanctuary
Rishikesh,10950,176302,2024-11-21,2024-11-28,Group,"Cultural, Adventure, Food-related",Villa,North Indian,"Jaipur, Kerala",English,Leh,20000-30000,Snowy,Medium,Hotel,Magazine history purpose career near action.,Street Food,3,Your individual wrong recently.,"Solang Valley, Rohtang Pass"
Leh,59704,125010,2024-08-14,2025-01-03,Family,Food-related,Hotel,Seafood,Rishikesh,English,Varanasi,10000-20000,Moderate,High,Villa,Education culture source across also.,Seafood,1,May action among.,"Munnar, Alleppey, Varkala"
Goa,185601,133866,2024-03-04,2024-03-21,Family,"Food-related, Cultural",Villa,Street Food,Mumbai,English,Jaipur,150000-160000,Moderate,High,Villa,Operation own those act begin.,Vegetarian,2,Leader student notice allow down player.,"Fort Kochi, Thekkady"
Delhi,152796,85776,2024-10-05,2025-01-03,Group,"Food-related, Cultural, Nature",Hotel,Seafood,Mumbai,English,Jaipur,100000-110000,Tropical,Medium,Villa,My describe begin.,Seafood,1,Each resource maybe.,Kashi Vishwanath Temple
Andaman,182257,181629,2024-05-24,2024-11-28,Couple,"Relaxation, Nature",Homestay,Street Food,"Kerala, Varanasi",English,Jaipur,140000-150000,Snowy,Low,Villa,Former west money in center.,South Indian,4,Republican level wait discussion no.,Periyar Wildlife Sanctuary
Mumbai,40383,85671,2024-05-18,2024-09-05,Solo,"Cultural, Nature",Hostel,Vegetarian,Mumbai,English,Jaipur,100000-110000,Tropical,Medium,Homestay,Charge thousand generation.,Street Food,3,Crime also level.,"Solang Valley, Rohtang Pass"
Manali,123820,191776,2024-07-07,2024-09-30,Family,"Nature, Relaxation",Resort,Vegetarian,"Delhi, Andaman, Leh",English,Jaipur,180000-190000,Snowy,Medium,Hotel,Foot yard store time look college.,Seafood,1,Because skill machine behind.,"Munnar, Alleppey, Varkala"
Kerala,140002,64430,2024-08-19,2024-10-17,Family,"Cultural, Adventure",Resort,Street Food,"Varanasi, Manali",English,Manali,170000-180000,Moderate,Low,Hotel,Across will group.,Vegetarian,4,Community current add free.,"Fort Kochi, Thekkady"
Rishikesh,49078,119593,2024-04-15,2024-06-04,Solo,"Nature, Food-related",Hostel,South Indian,Rishikesh,English,Kerala,180000-190000,Snowy,Low,Hotel,Friend her appear wall space.,Vegetarian,2,Claim job dream south.,Kashi Vishwanath Temple
Delhi,112777,40701,2024-03-31,2024-07-15,Solo,Food-related,Hostel,North Indian,Leh,English,Leh,80000-90000,Snowy,High,Homestay,Establish around feeling.,South Indian,3,Final still field weight allow.,Periyar Wildlife Sanctuary
Varanasi,36359,97295,2024-11-19,2024-11-20,Family,"Relaxation, Food-related, Cultural",Homestay,Seafood,"Leh, Mumbai",English,Leh,60000-70000,Moderate,Medium,Hotel,Let wish land near baby.,Street Food,4,Make important throughout whom area.,"Solang Valley, Rohtang Pass"
Rishikesh,38266,36084,2024-04-05,2024-08-24,Group,"Adventure, Relaxation, Nature",Resort,Vegetarian,"Andaman, Delhi, Mumbai",English,Kerala,50000-60000,Snowy,Low,Resort,To new hear window specific.,North Indian,1,Must home executive east.,"Munnar, Alleppey, Varkala"
Delhi,124420,173474,2024-07-10,2024-12-05,Family,"Food-related, Nature, Cultural",Hostel,Seafood,"Jaipur, Kerala, Leh",English,Mumbai,120000-130000,Tropical,High,Hostel,Adult wrong leader a.,Vegetarian,1,Series against federal within.,"Fort Kochi, Thekkady"
Mumbai,131606,159011,2024-10-10,2024-10-18,Group,"Cultural, Food-related, Relaxation",Villa,Vegetarian,"Varanasi, Delhi",English,Leh,170000-180000,Snowy,Medium,Villa,Shake bar laugh.,Seafood,3,Other couple media oil.,Kashi Vishwanath Temple
Delhi,24245,7649,2024-08-09,2024-12-21,Solo,"Cultural, Adventure",Homestay,Seafood,"Kerala, Leh",English,Andaman,30000-40000,Snowy,Low,Homestay,Civil forget off court that.,Vegetarian,1,You director color say.,Periyar Wildlife Sanctuary
Kerala,25389,26729,2024-05-22,2024-11-29,Group,"Nature, Cultural",Resort,Vegetarian,Rishikesh,English,Jaipur,50000-60000,Snowy,High,Hotel,Simple only process.,Street Food,2,Story activity near matter.,"Solang Valley, Rohtang Pass"
Kerala,66978,111159,2024-11-17,2025-01-02,Solo,"Cultural, Nature",Resort,South Indian,"Manali, Leh, Goa",English,Varanasi,150000-160000,Moderate,Medium,Hotel,Debate any team employee so feel.,Seafood,5,Billion theory behind.,"Munnar, Alleppey, Varkala"
Jaipur,178065,174550,2024-10-23,2024-11-13,Solo,Adventure,Hotel,North Indian,"Varanasi, Goa",English,Leh,10000-20000,Snowy,Low,Resort,Than bit give around reflect.,Street Food,1,Eye while election.,"Fort Kochi, Thekkady"
Kerala,92837,54896,2024-10-05,2024-11-19,Couple,"Relaxation, Nature, Cultural",Hostel,Vegetarian,"Andaman, Delhi",English,Leh,30000-40000,Moderate,Medium,Hostel,Green rather soldier leg.,North Indian,5,Particularly yet interview.,Kashi Vishwanath Temple
Varanasi,146623,20040,2024-09-23,2024-11-02,Group,"Adventure, Food-related, Nature",Homestay,South Indian,"Jaipur, Kerala, Delhi",English,Manali,150000-160000,Moderate,High,Resort,Study side child.,North Indian,4,Doctor concern nature effort black.,Periyar Wildlife Sanctuary
Andaman,99802,134035,2024-05-28,2024-07-29,Solo,Food-related,Homestay,South Indian,"Jaipur, Manali",English,Rishikesh,130000-140000,Tropical,Low,Hotel,Word pick class food.,North Indian,5,Purpose past another.,"Solang Valley, Rohtang Pass"
Rishikesh,43376,197680,2024-01-22,2024-02-11,Group,"Nature, Adventure",Resort,Street Food,Delhi,English,Delhi,140000-150000,Tropical,High,Resort,Western society side often war machine.,Seafood,5,Other term north plan.,"Munnar, Alleppey, Varkala"
Jaipur,182227,20771,2024-02-13,2024-11-02,Family,"Cultural, Adventure, Food-related",Villa,Vegetarian,"Rishikesh, Delhi, Leh",English,Rishikesh,120000-130000,Moderate,Low,Villa,To new game.,North Indian,5,Mind least only.,"Fort Kochi, Thekkady"
Delhi,21667,88664,2024-06-13,2024-11-02,Family,"Adventure, Cultural",Resort,Seafood,"Mumbai, Rishikesh",English,Leh,30000-40000,Moderate,High,Villa,Personal boy state shake including always game.,South Indian,3,Only eye again every computer.,Kashi Vishwanath Temple
Rishikesh,119487,95676,2024-02-12,2024-07-09,Couple,"Cultural, Relaxation",Hotel,Seafood,"Kerala, Andaman, Manali",English,Goa,40000-50000,Tropical,High,Homestay,Society everyone remain drive.,Seafood,5,Professional to whatever road.,Periyar Wildlife Sanctuary
Mumbai,67025,76788,2024-11-06,2024-11-15,Family,"Adventure, Nature, Cultural",Hotel,South Indian,"Kerala, Delhi, Andaman",English,Mumbai,160000-170000,Tropical,High,Hostel,Meet subject international short wide.,South Indian,4,Four agree green world.,"Solang Valley, Rohtang Pass"
Andaman,21769,57608,2024-07-10,2024-08-27,Group,Adventure,Resort,Seafood,"Varanasi, Jaipur, Rishikesh",English,Delhi,60000-70000,Moderate,Medium,Villa,Born career girl.,Vegetarian,4,Country company its however voice international.,"Munnar, Alleppey, Varkala"
Rishikesh,112810,155215,2024-10-09,2025-01-10,Family,Food-related,Homestay,South Indian,Jaipur,English,Kerala,130000-140000,Snowy,Medium,Resort,A live data.,North Indian,5,Party speech realize station before even.,"Fort Kochi, Thekkady"
Mumbai,138453,118936,2024-07-01,2024-08-27,Group,"Cultural, Nature, Food-related",Hostel,South Indian,"Leh, Mumbai",English,Andaman,70000-80000,Snowy,Low,Hotel,Performance security all will condition.,Vegetarian,4,Officer peace physical drive.,Kashi Vishwanath Temple
Varanasi,180710,108211,2024-01-07,2024-11-18,Solo,"Nature, Adventure",Hostel,South Indian,"Varanasi, Rishikesh",English,Goa,20000-30000,Tropical,High,Villa,Bed source which simply data action.,North Indian,4,Would affect ok pressure operation.,Periyar Wildlife Sanctuary
Manali,5596,18573,2024-01-19,2024-05-06,Group,"Cultural, Nature, Relaxation",Hostel,Seafood,Jaipur,English,Jaipur,190000-200000,Snowy,Medium,Hotel,By what medical own discuss upon.,North Indian,5,Tv spring voice the.,"Solang Valley, Rohtang Pass"
Manali,24538,143254,2024-10-15,2024-11-18,Family,Relaxation,Homestay,North Indian,"Varanasi, Mumbai",English,Leh,160000-170000,Snowy,Low,Hotel,Modern sort conference material at.,South Indian,3,Book note style.,"Munnar, Alleppey, Varkala"
Delhi,128950,91052,2024-05-09,2024-12-15,Solo,"Relaxation, Food-related, Adventure",Hotel,Seafood,"Andaman, Delhi",English,Varanasi,190000-200000,Snowy,Low,Hostel,Executive property listen question.,Street Food,3,Price collection security.,"Fort Kochi, Thekkady"
Kerala,70213,50753,2024-10-16,2024-12-08,Family,"Relaxation, Food-related, Nature",Hotel,Vegetarian,"Delhi, Goa",English,Mumbai,110000-120000,Moderate,Low,Homestay,Term whose color personal.,Vegetarian,5,Fill majority answer when unit staff.,Kashi Vishwanath Temple
Goa,176952,120299,2024-01-27,2024-12-01,Solo,"Relaxation, Nature, Food-related",Villa,Vegetarian,"Andaman, Rishikesh, Goa",English,Varanasi,60000-70000,Tropical,Medium,Hotel,Sometimes nor another those.,North Indian,2,Two evidence throw partner million.,Periyar Wildlife Sanctuary
Jaipur,81217,20025,2024-05-07,2024-05-19,Couple,"Cultural, Adventure",Resort,Vegetarian,Delhi,English,Leh,30000-40000,Moderate,High,Homestay,Should list step safe plant.,Seafood,3,Physical direction watch manage black.,"Solang Valley, Rohtang Pass"
Kerala,50235,44457,2024-07-05,2024-09-16,Solo,"Relaxation, Adventure, Cultural",Homestay,Seafood,"Rishikesh, Goa, Andaman",English,Leh,100000-110000,Tropical,High,Hotel,Record wish right.,North Indian,3,Attention education exist film do worker.,"Munnar, Alleppey, Varkala"
Goa,163408,104868,2024-08-07,2024-11-22,Group,Cultural,Hotel,Seafood,Kerala,English,Jaipur,50000-60000,Snowy,Low,Resort,Both well and begin.,South Indian,3,Ability protect generation.,"Fort Kochi, Thekkady"
Goa,140203,156484,2024-04-27,2024-05-23,Solo,Food-related,Hotel,Seafood,Jaipur,English,Kerala,40000-50000,Tropical,Medium,Resort,Doctor final peace knowledge degree book.,Street Food,2,Better eight various relationship.,Kashi Vishwanath Temple
Varanasi,186419,89527,2024-05-31,2024-07-19,Family,"Adventure, Nature",Hostel,Vegetarian,"Delhi, Goa, Rishikesh",English,Rishikesh,100000-110000,Snowy,Low,Homestay,Dream opportunity very we property.,Vegetarian,4,By machine green keep.,Periyar Wildlife Sanctuary
Jaipur,140592,180400,2024-05-02,2024-07-05,Couple,"Nature, Cultural",Hotel,South Indian,Mumbai,English,Kerala,90000-100000,Moderate,High,Resort,Beyond left instead.,North Indian,1,Film learn six medical will pretty.,"Solang Valley, Rohtang Pass"
Mumbai,88883,178276,2024-12-11,2024-12-21,Family,"Adventure, Relaxation, Food-related",Villa,South Indian,"Rishikesh, Manali, Goa",English,Manali,150000-160000,Snowy,Low,Hostel,Another economic well offer pretty late.,Seafood,4,Return human west some note parent.,"Munnar, Alleppey, Varkala"
Goa,61220,7495,2024-05-25,2024-12-08,Solo,Relaxation,Homestay,Seafood,"Delhi, Mumbai, Jaipur",English,Goa,50000-60000,Tropical,High,Hotel,Hot rather response eye low parent.,North Indian,2,Administration realize little.,"Fort Kochi, Thekkady"
Leh,176943,30578,2024-09-03,2024-10-31,Solo,"Relaxation, Nature, Cultural",Villa,Seafood,"Rishikesh, Varanasi, Jaipur",English,Leh,30000-40000,Tropical,Medium,Homestay,Entire suddenly ago Mr red.,North Indian,5,Most old decade movie after form.,Kashi Vishwanath Temple
Jaipur,139270,127805,2024-08-31,2025-01-06,Family,Nature,Villa,Vegetarian,"Leh, Goa",English,Varanasi,20000-30000,Snowy,Medium,Villa,Under put give face.,South Indian,2,Chance over form possible animal.,Periyar Wildlife Sanctuary
Varanasi,105733,22339,2024-01-29,2024-09-27,Couple,Cultural,Hostel,South Indian,"Varanasi, Mumbai",English,Mumbai,160000-170000,Tropical,Medium,Homestay,Bad carry surface two I tonight.,Street Food,1,Claim trade base less American star.,"Solang Valley, Rohtang Pass"
Jaipur,155330,113611,2024-05-13,2024-07-01,Family,Food-related,Resort,North Indian,Andaman,English,Jaipur,40000-50000,Tropical,High,Homestay,Trouble city age both structure.,Street Food,3,Attention show wall.,"Munnar, Alleppey, Varkala"
Delhi,86599,177375,2024-03-18,2024-04-18,Couple,"Relaxation, Food-related",Homestay,North Indian,Varanasi,English,Delhi,0-10000,Snowy,High,Villa,Consider treat wind religious effort.,North Indian,3,Response determine security lot we.,"Fort Kochi, Thekkady"
Andaman,122606,185068,2024-04-05,2024-09-17,Couple,Cultural,Homestay,North Indian,Jaipur,English,Varanasi,50000-60000,Moderate,Low,Villa,Sister remember child.,Vegetarian,5,Important yes plan.,Kashi Vishwanath Temple
Rishikesh,94108,32673,2024-12-09,2025-01-11,Couple,Relaxation,Resort,Street Food,Manali,English,Delhi,20000-30000,Moderate,Low,Hotel,Strong management meet.,South Indian,5,Purpose be try production generation.,Periyar Wildlife Sanctuary
Leh,122820,91927,2024-08-09,2024-09-08,Group,"Nature, Food-related",Villa,Vegetarian,Manali,English,Manali,50000-60000,Snowy,High,Hostel,Suddenly mother second property note open.,South Indian,1,Lose born away leave.,"Solang Valley, Rohtang Pass"
Mumbai,102516,81320,2024-03-31,2024-04-13,Group,"Adventure, Relaxation, Food-related",Resort,North Indian,"Manali, Mumbai, Leh",English,Goa,50000-60000,Tropical,High,Hostel,Political chance upon.,Vegetarian,5,Movement Congress friend thousand process toward.,"Munnar, Alleppey, Varkala"
Kerala,107582,149558,2024-01-24,2024-07-10,Solo,Nature,Resort,North Indian,"Rishikesh, Delhi",English,Delhi,70000-80000,Snowy,Medium,Villa,Chair age type bed fill.,South Indian,5,Appear girl stuff beyond operation article.,"Fort Kochi, Thekkady"
Andaman,170734,105921,2024-10-18,2024-10-25,Group,Relaxation,Hostel,Vegetarian,"Andaman, Jaipur",English,Rishikesh,100000-110000,Moderate,High,Resort,Wonder recently floor.,Street Food,2,Ever beyond live wish.,Kashi Vishwanath Temple
Mumbai,37780,143826,2024-09-21,2024-11-01,Group,Adventure,Hotel,South Indian,"Delhi, Andaman, Rishikesh",English,Rishikesh,150000-160000,Snowy,Medium,Hostel,Cover until choose ability health travel.,Seafood,3,Happy television per scientist site debate.,Periyar Wildlife Sanctuary
Leh,185231,173506,2024-02-27,2024-08-16,Couple,"Food-related, Relaxation",Villa,Vegetarian,"Leh, Rishikesh, Goa",English,Goa,100000-110000,Tropical,Low,Hostel,Measure early buy.,North Indian,2,Place possible their similar.,"Solang Valley, Rohtang Pass"
Mumbai,24324,103794,2024-07-18,2024-08-30,Group,"Cultural, Adventure, Food-related",Villa,Vegetarian,Delhi,English,Rishikesh,160000-170000,Tropical,Medium,Resort,Purpose rest what call everything then.,South Indian,2,He involve month the.,"Munnar, Alleppey, Varkala"
Jaipur,69807,23799,2024-01-05,2024-04-23,Family,"Adventure, Nature",Resort,Seafood,Mumbai,English,Andaman,10000-20000,Snowy,Medium,Hostel,Above reach fine four.,Seafood,2,Box show sound need street student.,"Fort Kochi, Thekkady"
Jaipur,48678,86370,2024-06-18,2024-10-20,Group,"Adventure, Relaxation, Food-related",Hostel,Seafood,"Jaipur, Kerala, Varanasi",English,Leh,190000-200000,Tropical,High,Hostel,Test provide yeah.,South Indian,1,Whatever travel option suggest city.,Kashi Vishwanath Temple
Varanasi,27012,119572,2024-02-24,2024-05-26,Group,"Nature, Cultural, Relaxation",Hotel,North Indian,"Rishikesh, Goa",English,Andaman,150000-160000,Tropical,Low,Homestay,Recently painting weight.,Street Food,2,Foreign financial baby.,Periyar Wildlife Sanctuary
Kerala,106700,167009,2024-04-18,2024-05-02,Group,"Relaxation, Food-related",Resort,Seafood,"Kerala, Manali",English,Mumbai,20000-30000,Tropical,Low,Homestay,Leave everyone born.,Seafood,5,Development common war century personal of.,"Solang Valley, Rohtang Pass"
Rishikesh,187963,131849,2024-03-11,2024-08-03,Solo,"Nature, Food-related",Homestay,Street Food,Manali,English,Andaman,90000-100000,Snowy,Medium,Hotel,Sometimes must believe site charge.,North Indian,5,American foreign probably everybody.,"Munnar, Alleppey, Varkala"
Kerala,66015,24117,2024-02-27,2024-10-29,Solo,"Cultural, Relaxation, Nature",Hotel,South Indian,Manali,English,Manali,90000-100000,Tropical,Low,Hostel,Charge send help decide.,North Indian,4,State six cup today forget difficult management.,"Fort Kochi, Thekkady"
Rishikesh,173695,95049,2024-09-08,2024-11-25,Family,Relaxation,Villa,Vegetarian,"Mumbai, Manali",English,Leh,100000-110000,Tropical,Medium,Homestay,Without voice Congress send.,South Indian,5,Question this serve position eat young.,Kashi Vishwanath Temple
Kerala,144854,70160,2024-01-11,2024-12-26,Group,Cultural,Resort,Street Food,"Delhi, Jaipur, Kerala",English,Rishikesh,10000-20000,Snowy,Low,Hotel,Look admit summer even our everyone.,South Indian,4,He subject TV room travel.,Periyar Wildlife Sanctuary
Delhi,77222,13713,2024-02-17,2024-07-12,Solo,Adventure,Resort,Seafood,"Leh, Kerala",English,Jaipur,140000-150000,Moderate,High,Hostel,Buy science beautiful candidate personal lot.,North Indian,4,Manager ahead recent herself.,"Solang Valley, Rohtang Pass"
Delhi,15641,164359,2024-09-16,2024-12-12,Family,"Relaxation, Food-related, Adventure",Resort,North Indian,Delhi,English,Andaman,100000-110000,Moderate,High,Villa,When note treatment.,South Indian,5,Actually result probably any these subject edge.,"Munnar, Alleppey, Varkala"
Kerala,127566,31223,2024-02-10,2024-04-17,Solo,Food-related,Villa,Vegetarian,"Andaman, Varanasi",English,Rishikesh,160000-170000,Tropical,High,Resort,Be bring program tree.,Vegetarian,1,Impact court guess box.,"Fort Kochi, Thekkady"
Manali,20043,198550,2024-11-13,2025-01-07,Solo,"Adventure, Nature, Relaxation",Hostel,Seafood,Jaipur,English,Manali,70000-80000,Snowy,High,Villa,Cultural six table talk foot couple.,Seafood,3,First action exist.,Kashi Vishwanath Temple
Mumbai,37593,197998,2024-08-05,2024-08-11,Couple,"Food-related, Nature",Resort,Seafood,"Delhi, Goa",English,Mumbai,170000-180000,Moderate,Low,Resort,Performance western deep coach road sing.,Seafood,3,Visit song yeah.,Periyar Wildlife Sanctuary
Mumbai,164680,88944,2024-04-06,2024-06-27,Group,Food-related,Hostel,Seafood,"Goa, Manali, Leh",English,Manali,20000-30000,Moderate,Low,Hotel,After quality somebody camera seek.,North Indian,2,Low share begin.,"Solang Valley, Rohtang Pass"
Leh,131061,172771,2024-05-18,2024-06-07,Group,"Nature, Food-related",Hotel,Vegetarian,"Andaman, Kerala",English,Kerala,110000-120000,Moderate,Medium,Resort,Scientist billion piece anything civil.,Vegetarian,5,Deep near amount prove.,"Munnar, Alleppey, Varkala"
Kerala,37538,83950,2024-05-11,2024-06-10,Couple,"Adventure, Nature, Cultural",Villa,Seafood,"Rishikesh, Goa, Kerala",English,Manali,160000-170000,Moderate,High,Resort,Positive knowledge trade participant media throughout.,Street Food,2,Sport example new wear conference if.,"Fort Kochi, Thekkady"
Varanasi,118301,107276,2024-09-14,2024-09-19,Solo,"Adventure, Cultural, Food-related",Homestay,South Indian,Varanasi,English,Leh,30000-40000,Snowy,Low,Hostel,Chair card few tax similar.,South Indian,1,Training someone nor lot talk.,Kashi Vishwanath Temple
Delhi,29271,101644,2024-10-08,2024-11-07,Couple,"Food-related, Nature",Hotel,Seafood,Leh,English,Mumbai,140000-150000,Snowy,High,Hotel,Produce research green about simple.,South Indian,2,Certain operation financial itself we stock.,Periyar Wildlife Sanctuary
Kerala,77889,159575,2024-01-17,2024-06-26,Couple,Adventure,Resort,Street Food,"Leh, Delhi, Andaman",English,Leh,50000-60000,Snowy,Medium,Hotel,Become spend development into employee since more.,North Indian,5,Begin drug president not country.,"Solang Valley, Rohtang Pass"
